Date, AM Time, Accomplished, Goal, Todo/Calendar, AM Eye,, Make Bed,, AM Exercise,, AM Jaw,, AM Meds,, AM Food,, AM Teeth,, AM Bathe,, AM Fissure,, AM Dressed,, Awareness,, AM Eye 2,, Lunch,, Lunch Meds,, Lunch Fissure,, Shielding,, Welding,, EEG,, Organization,, Travel Prep,, Academic,, PM Eye,, PM Food,, PM Meds,, PM Teeth,, PM Fissure,, PM Exercise,, PM Jaw,, PM Eye,, Dental Guard,, PM Time, Other,, Notes
Date      , Time,Actua,Goal ,T,EY,,MB,,PT  ,    ,  JE,    ,MD,,FD,,BT,,  SH,,FT,,CL,,SS,,EY,,FD ,   ,MD,,FT,,EM ,   ,WL,,OV ,   ,PL ,   ,PK,,EE,,EY,,FD,,MD,,BT,,FT,,PT  ,    ,JE  ,    ,EY,,DG,, Time,Ot,,N
          ,     ,     ,     , ,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,A,G,  A,G,A,G,A,G,A,G,A,G,Act,Goa,A,G,A,G,Act,Goa,A,G,Act,Goa,Act,Goa,A,G,A,G,A,G,A,G,A,G,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,     ,A,G,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
# IT'S 2019 NOW USE THE OTHER FILE,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-06,08:03,     ,     , ,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,0,1,1,1, , ,1,1,  1,   ,1, ,0, ,   ,   , , ,   ,   ,  1,   , , , , ,1, ,1,1, ,1,1,1, , ,    ,    ,    ,    ,1,1,0,1,     , , ,
2018-12-05,06:52,     ,     , ,1,1,0,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,0,1, ,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , ,1, , , ,0, , , ,    ,    ,    ,    ,1, ,0, ,     , , ,
2018-12-04,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-12-03,10:33,     ,     , ,1,1, ,1,    ,    ,    ,    , ,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,  1,   , , , , , , , , , ,1,1,1, , ,    ,    ,    ,    , , , ,1,     , , ,
2018-12-02,07:01,     ,     , , , , , ,    ,    ,    ,    , , ,1, ,1,1,   ,1, , , , , , , , ,  1,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , ,1, , , , , , , ,    ,    ,    ,    , , ,1, ,     ,1,3,O:blacksburg hw material; blacksburg group; visit street giraffe call
2018-12-01,06:50,     ,     , ,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , ,1,O:jim call 9a
2018-11-30,05:59,     ,     , ,1,1,1,1,   0,    ,   0,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,  1,   , , , , , , , , , , ,1,1, , ,    ,    ,    ,    ,1,1,0,1,     ,3,3,O:maya consult call; kate call; gwyn help
2018-11-29,08:14,     ,     , ,1,1,1, ,   0,    ,   0,    , , , , ,1, ,   , , , , , , , , , ,   ,   , , , , ,  1,   , , ,   ,   ,   ,   ,1, , , , , , , , , ,1, , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-28,12:47,     ,     , , ,1, , ,    ,    ,    ,    , , , , , ,1,   ,1, , , , , , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-11-27,06:13,     ,     , ,1,1,1,1,   0,    ,   0,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-11-26,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-25,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-24,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-23,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-22,07:47,     ,     , ,1,1,1,1,   0,    ,   0,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , ,3,O:gwyn and possible truck; make meal; go to event
2018-11-21,07:39,     ,     , ,1,1,1,1,    ,    ,    ,    ,1,1,1,1,1,1,  1,1,1,1,1,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , ,1,1, , ,    ,    ,    ,    ,1,1,0,1,     ,3,3,O:do laundry; take trash out; prep veggie dish
2018-11-20,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-19,12:58,     ,     , ,1,1, ,1,   0,    ,   0,    ,1,1,1,1,1,1,  1,1,0,1,0,1, , , ,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , ,1, , , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-11-18,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-17,07:28,     ,     , ,1,1,1,1, 0.1,    ,   0,    ,1,1,1,1,1,1,  1,1,1,1,1,1,0, ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-11-16,     ,     ,     , , , , , ,    ,    ,    ,    , , , , ,1, ,  0, , , ,0, , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , ,0, ,0, ,0, ,    ,    ,    ,    ,1, ,0, ,     , , ,struggled all day
2018-11-15,07:10,     ,     , ,1,1,1,1,   0,    ,   0,    ,1,1,1, ,1,1,  1,1,1,1,1,1,0, ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , ,4,O:call with jim; call with gwyn; get car out of driveway; go to va
