Code, Routine, Start Time, Stop Time, Description
EX, morning, 2018-02-15T06:59:52-05:00, 2018-02-15T07:06:56-05:00, Morning Exercises, UNFINISHED
FD, morning, 2018-02-15T07:09:00-05:00, 2018-02-15T07:43:33-05:00, Breakfast and Meds,
BT, morning, 2018-02-15T07:48:35-05:00, 2018-02-15T07:58:25-05:00, Brush Teeth,
SH, morning, 2018-02-15T07:58:28-05:00, 2018-02-15T08:18:26-05:00, Shave and Shower,
FT, morning, 2018-02-15T08:18:28-05:00, 2018-02-15T08:36:43-05:00, Fissure Treatment,
CL, morning, 2018-02-15T08:36:45-05:00, 2018-02-15T08:44:43-05:00, Put Clothes On,
EY, morning, 2018-02-15T08:44:46-05:00, 2018-02-15T08:45:50-05:00, Eye Lubricant Again,
T, morning, 2018-02-15T08:46:00-05:00, 2018-02-15T08:47:13-05:00, Update Todo List,
B, morning, 2018-02-16T07:09:25-05:00, 2018-02-16T08:40:11-05:00, Get Out of Bed,
B, morning, 2018-02-17T03:57:27-05:00, 2018-02-17T04:08:52-05:00, Get Out of Bed,
T, morning, , 2018-02-17T04:27:21-05:00, Calendar and Routine Todo List, finished earlier
EY, morning, 2018-02-17T04:27:23-05:00, 2018-02-17T04:29:55-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-17T04:30:00-05:00, 2018-02-17T04:31:28-05:00, Make Bed,
EX, morning, 2018-02-17T04:31:31-05:00, 2018-02-17T05:01:17-05:00, Morning Exercises, UNFINISHED
FD, morning, 2018-02-17T06:21:39-05:00, 2018-02-17T06:49:06-05:00, Breakfast and Meds,
BT, morning, 2018-02-17T07:05:44-05:00, 2018-02-18T05:38:27-05:00, Brush Teeth, UNFINISHED
B, morning, , 2018-02-18T05:38:41-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-18T05:38:46-05:00, 2018-02-18T07:40:47-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-18T07:40:55-05:00, 2018-02-18T07:42:42-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-18T07:42:44-05:00, 2018-02-18T07:46:41-05:00, Make Bed,
FD, morning, 2018-02-18T07:46:48-05:00, 2018-02-18T08:25:19-05:00, Breakfast and Meds,
BT, morning, 2018-02-18T08:37:45-05:00, 2018-02-18T08:37:47-05:00, Brush Teeth,
FT, morning, 2018-02-18T08:37:54-05:00, 2018-02-18T08:51:57-05:00, Fissure Treatment,
CL, morning, 2018-02-18T08:51:59-05:00, 2018-02-18T08:54:48-05:00, Put Clothes On,
EY, morning, 2018-02-18T08:54:50-05:00, 2018-02-18T08:55:31-05:00, Eye Lubricant Again,
T, morning, 2018-02-18T08:55:35-05:00, 2018-02-18T08:56:26-05:00, Update Todo List,
B, morning, , 2018-02-19T06:00:23-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-19T06:00:25-05:00, 2018-02-19T06:06:29-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-19T06:06:32-05:00, 2018-02-19T06:08:24-05:00, Morning Eye Lubricant,
EX, morning, 2018-02-19T06:08:50-05:00, 2018-02-19T06:37:29-05:00, Morning Exercises,
FD, morning, 2018-02-19T06:40:48-05:00, 2018-02-19T07:02:52-05:00, Breakfast and Meds,
BT, morning, 2018-02-19T07:25:55-05:00, 2018-02-19T07:40:42-05:00, Brush Teeth,
SH, morning, , 2018-02-19T08:00:48-05:00, Shave and Shower, finished earlier
FT, morning, 2018-02-19T08:00:51-05:00, 2018-02-19T08:25:00-05:00, Fissure Treatment,
CL, morning, 2018-02-19T08:25:03-05:00, 2018-02-19T08:35:28-05:00, Put Clothes On,
EY, morning, , 2018-02-19T08:47:03-05:00, Eye Lubricant Again, finished earlier
T, morning, 2018-02-19T08:47:09-05:00, 2018-02-19T08:54:34-05:00, Update Todo List,
TX, morning, 2018-02-19T08:57:14-05:00, 2018-02-19T10:57:14-05:00, Daily Tasks,
EY, midday, 2018-02-19T10:57:59-05:00, 2018-02-19T10:58:47-05:00, Midday Eye Lubricant,
FD, midday, 2018-02-19T11:01:12-05:00, 2018-02-19T11:24:30-05:00, Lunch and Meds,
FT, midday, 2018-02-19T11:46:27-05:00, 2018-02-19T12:04:04-05:00, Midday Fissure Treatment,
B, morning, , 2018-02-20T05:20:50-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-20T05:20:59-05:00, 2018-02-20T05:31:38-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-20T05:42:48-05:00, 2018-02-20T07:19:21-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-20T07:19:24-05:00, 2018-02-20T07:21:20-05:00, Make Bed,
EX, morning, 2018-02-20T07:26:35-05:00, 2018-02-20T07:52:10-05:00, Morning Exercises,
FD, morning, 2018-02-20T07:52:24-05:00, 2018-02-20T08:34:21-05:00, Breakfast and Meds,
BT, morning, 2018-02-20T08:44:02-05:00, 2018-02-20T08:54:11-05:00, Brush Teeth,
FT, morning, 2018-02-20T08:54:18-05:00, 2018-02-20T09:23:00-05:00, Fissure Treatment,
CL, morning, , 2018-02-20T09:23:04-05:00, Put Clothes On, finished earlier
EY, morning, 2018-02-20T09:32:23-05:00, 2018-02-20T09:35:17-05:00, Eye Lubricant Again,
EY, midday, 2018-02-20T16:23:22-05:00, 2018-02-20T16:24:24-05:00, Midday Eye Lubricant,
FD, midday, 2018-02-20T16:31:14-05:00, 2018-02-20T16:55:17-05:00, Lunch and Meds,
FT, midday, 2018-02-20T17:50:41-05:00, 2018-02-20T18:09:09-05:00, Midday Fissure Treatment,
B, morning, 2018-02-21T06:18:00-05:00, 2018-02-21T07:01:57-05:00, Get Out of Bed,
